Frame,Sub Frame,IM EMG1,IM EMG5,IM EMG10
1,0,-3.46E-05,-2.41E-05,-4.45E-05
1,1,-3.47E-05,-2.52E-05,-4.50E-05
1,2,-3.48E-05,-2.60E-05,-4.68E-05
1,3,-3.44E-05,-2.58E-05,-4.84E-05
1,4,-3.40E-05,-2.45E-05,-4.78E-05
1,5,-3.47E-05,-2.32E-05,-4.56E-05
1,6,-3.69E-05,-2.27E-05,-4.51E-05
1,7,-3.93E-05,-2.34E-05,-4.75E-05
1,8,-4.12E-05,-2.50E-05,-5.09E-05
1,9,-4.25E-05,-2.56E-05,-5.30E-05
1,10,-4.31E-05,-2.48E-05,-5.26E-05
1,11,-4.27E-05,-2.40E-05,-4.99E-05
1,12,-4.19E-05,-2.48E-05,-4.75E-05
1,13,-4.13E-05,-2.68E-05,-4.78E-05
1,14,-4.11E-05,-2.84E-05,-5.03E-05
1,15,-4.13E-05,-2.88E-05,-5.31E-05
1,16,-4.17E-05,-2.81E-05,-5.45E-05
1,17,-4.15E-05,-2.76E-05,-5.29E-05
1,18,-4.07E-05,-2.82E-05,-4.92E-05
1,19,-4.03E-05,-2.96E-05,-4.70E-05
2,0,-4.03E-05,-3.04E-05,-4.73E-05
2,1,-3.99E-05,-2.97E-05,-4.70E-05
2,2,-3.94E-05,-2.88E-05,-4.56E-05
2,3,-3.92E-05,-2.85E-05,-4.51E-05
2,4,-3.87E-05,-2.85E-05,-4.62E-05
2,5,-3.76E-05,-2.86E-05,-4.80E-05
2,6,-3.65E-05,-2.90E-05,-4.90E-05
2,7,-3.63E-05,-2.97E-05,-4.79E-05
2,8,-3.63E-05,-3.01E-05,-4.64E-05
2,9,-3.62E-05,-2.92E-05,-4.72E-05
2,10,-3.70E-05,-2.67E-05,-4.97E-05
2,11,-3.92E-05,-2.43E-05,-5.09E-05
2,12,-4.16E-05,-2.35E-05,-4.97E-05
2,13,-4.23E-05,-2.43E-05,-4.85E-05
2,14,-4.13E-05,-2.54E-05,-4.85E-05
2,15,-4.08E-05,-2.62E-05,-4.86E-05
2,16,-4.20E-05,-2.57E-05,-4.90E-05
2,17,-4.43E-05,-2.44E-05,-4.92E-05
2,18,-4.67E-05,-2.37E-05,-4.79E-05
2,19,-4.87E-05,-2.39E-05,-4.59E-05
3,0,-4.95E-05,-2.37E-05,-4.54E-05
3,1,-4.86E-05,-2.32E-05,-4.67E-05
3,2,-4.66E-05,-2.26E-05,-4.87E-05
3,3,-4.49E-05,-2.22E-05,-5.04E-05
3,4,-4.42E-05,-2.27E-05,-5.14E-05
3,5,-4.46E-05,-2.43E-05,-5.20E-05
3,6,-4.69E-05,-2.55E-05,-5.25E-05
3,7,-5.00E-05,-2.51E-05,-5.32E-05
3,8,-5.18E-05,-2.42E-05,-5.41E-05
3,9,-5.18E-05,-2.43E-05,-5.41E-05
3,10,-5.08E-05,-2.53E-05,-5.33E-05
3,11,-4.91E-05,-2.59E-05,-5.28E-05
3,12,-4.65E-05,-2.60E-05,-5.32E-05
3,13,-4.42E-05,-2.59E-05,-5.25E-05
3,14,-4.34E-05,-2.59E-05,-4.94E-05
3,15,-4.31E-05,-2.62E-05,-4.65E-05
3,16,-4.20E-05,-2.65E-05,-4.66E-05
3,17,-4.03E-05,-2.62E-05,-4.80E-05
3,18,-3.85E-05,-2.54E-05,-4.81E-05
3,19,-3.66E-05,-2.45E-05,-4.69E-05
4,0,-3.45E-05,-2.49E-05,-4.60E-05
4,1,-3.30E-05,-2.63E-05,-4.60E-05
4,2,-3.29E-05,-2.72E-05,-4.65E-05
4,3,-3.37E-05,-2.66E-05,-4.74E-05
4,4,-3.49E-05,-2.52E-05,-4.81E-05
4,5,-3.69E-05,-2.43E-05,-4.77E-05
4,6,-3.93E-05,-2.51E-05,-4.75E-05
4,7,-4.10E-05,-2.75E-05,-4.84E-05
4,8,-4.17E-05,-2.95E-05,-4.91E-05
4,9,-4.16E-05,-2.93E-05,-4.94E-05
4,10,-4.10E-05,-2.78E-05,-5.01E-05
4,11,-4.04E-05,-2.69E-05,-5.02E-05
4,12,-4.00E-05,-2.74E-05,-4.85E-05
4,13,-4.02E-05,-2.83E-05,-4.68E-05
4,14,-4.06E-05,-2.87E-05,-4.66E-05
4,15,-4.02E-05,-2.89E-05,-4.76E-05
4,16,-3.92E-05,-3.00E-05,-4.86E-05
4,17,-3.89E-05,-3.16E-05,-4.90E-05
4,18,-3.97E-05,-3.24E-05,-4.93E-05
4,19,-4.14E-05,-3.20E-05,-5.03E-05
5,0,-4.41E-05,-3.18E-05,-5.11E-05
5,1,-4.76E-05,-3.25E-05,-5.02E-05
5,2,-5.10E-05,-3.29E-05,-4.80E-05
5,3,-5.33E-05,-3.18E-05,-4.60E-05
5,4,-5.49E-05,-3.00E-05,-4.51E-05
5,5,-5.71E-05,-2.89E-05,-4.35E-05
